t_name,part1_score,part2_score,part3_score,score
张三,31.3432,24.6969,0.0,56.0401
李四,32.078,24.9369,0.0,57.0149
王五,30.0724,24.2723,0.0,54.3447
赵六,28.7436,17.28,0.0,46.0236
刘七,27.6396,17.025,0.0,44.6646
陈八,23.5074,29.3515,0.0,52.8589
周九,24.0585,29.3246,0.0,53.3831
孙十,22.5543,28.6246,0.0,51.1789
钱一,29.1144,24.9923,0.0,54.1067
吴二,30.0444,24.6877,0.0,54.7321
郑三,26.7212,17.175,0.0,43.8962
冯四,21.8358,28.4738,0.0,50.3096
褚五,22.5333,28.8615,0.0,51.3948
卫六,30.5068,25.6436,0.0,56.1504
蒋七,30.5259,24.6771,0.0,55.2031
沈八,30.4257,24.5636,0.0,54.9893
韩九,31.0459,24.6686,0.0,55.7145
杨十,22.8801,28.705,0.0,51.5851
朱甲,22.8944,27.93,0.0,50.8244
秦乙,22.8193,28.965,0.0,51.7843
尤丙,23.2844,29.52,0.0,52.8044
